customer_id,brand,customer_type,sales,customer_profitability
636126,Armani,Non-Promo Customers,90.1,Low Profit
536295,Kiehl's,Partially Promo Customers,522,Profitable
539067,YSL,Promo Only Customers,58,Low Profit
892336,Armani ,Promo Only Customers,240.5,Low Profit
550862,Armani,Non-Promo Customers,102.6,Low Profit
674208,Armani,Non-Promo Customers,1068.25,Profitable
639142,Lancome,Non-Promo Customers,135,Low Profit
344029,IT Cosmetics,Partially Promo Customers,836.2,Profitable
588220,Lancome,Promo Only Customers,194,Low Profit
628943,YSL,Promo Only Customers,66,Low Profit
298148,Lancome,Non-Promo Customers,238.5,Low Profit
643088,IT Cosmetics,Partially Promo Customers,253.5,Low Profit
601702,Lancome,Non-Promo Customers,35,Low Profit
852354,Armani ,Partially Promo Customers,70.2,Low Profit
840719,YSL,Non-Promo Customers,458.81,Profitable
931579,IT Cosmetics,Promo Only Customers,569,Profitable
227429,Lancome,Promo Only Customers,111,Low Profit
154304,YSL,Non-Promo Customers,191,Low Profit
162398,IT Cosmetics,Promo Only Customers,3809.17,High Profit
615234,IT Cosmetics,Non-Promo Customers,1284.5,Profitable
494436,Kiehl's,Non-Promo Customers,515.5,Profitable
968353,IT Cosmetics,Partially Promo Customers,272.5,Low Profit
914826,IT Cosmetics,Partially Promo Customers,261,Low Profit
126469,Armani,Non-Promo Customers,273.37,Low Profit
724549,Kiehl's,Promo Only Customers,98,Low Profit
616926,YSL,Promo Only Customers,127.2,Low Profit
667334,Lancome,Promo Only Customers,59.2,Low Profit
661417,Lancome,Promo Only Customers,805.45,Profitable
221914,Kiehl's,Partially Promo Customers,43.2,Low Profit
886070,Kiehl's,Partially Promo Customers,51,Low Profit
252109,IT Cosmetics,Partially Promo Customers,11,Low Profit
427441,IT Cosmetics,Partially Promo Customers,416.55,Profitable
331391,Armani,Non-Promo Customers,109.5,Low Profit
362253,IT Cosmetics,Promo Only Customers,145,Low Profit
237544,Kiehl's,Non-Promo Customers,185,Low Profit
666420,Kiehl's,Non-Promo Customers,273.8,Low Profit
908534,Lancome,Non-Promo Customers,204.5,Low Profit
962353,YSL,Non-Promo Customers,262.2,Low Profit
805903,Kiehl's,Non-Promo Customers,144,Low Profit
259074,Kiehl's,Partially Promo Customers,901.5,Profitable
312076,Armani ,Promo Only Customers,145,Low Profit
230743,Lancome,Partially Promo Customers,304.2,Profitable
443465,Kiehl's,Partially Promo Customers,24,Low Profit
138234,Lancome,Partially Promo Customers,55.8,Low Profit
666589,Kiehl's,Partially Promo Customers,48,Low Profit
937286,Kiehl's,Partially Promo Customers,807.5,Profitable
347792,Lancome,Partially Promo Customers,135.62,Low Profit
922775,IT Cosmetics,Promo Only Customers,337.1,Profitable
335858,Lancome,Promo Only Customers,361.8,Profitable
191251,Lancome,Promo Only Customers,33,Low Profit
831858,YSL,Promo Only Customers,183.5,Low Profit
559843,IT Cosmetics,Partially Promo Customers,172.5,Low Profit
747711,YSL,Promo Only Customers,180,Low Profit
846047,YSL,Non-Promo Customers,37.6,Low Profit
651472,Armani ,Promo Only Customers,2403.6,High Profit
139348,Kiehl's,Partially Promo Customers,295.28,Low Profit
782717,Armani,Non-Promo Customers,104,Low Profit
735432,Armani,Promo Only Customers,206.4,Low Profit
365814,Kiehl's,Partially Promo Customers,150,Low Profit
201770,YSL,Promo Only Customers,504,Profitable
883475,Kiehl's,Partially Promo Customers,302,Profitable
842654,YSL,Non-Promo Customers,102.42,Low Profit
691036,Kiehl's,Promo Only Customers,301.5,Profitable
240469,Armani ,Promo Only Customers,78.75,Low Profit
150841,YSL,Promo Only Customers,60,Low Profit
167707,Armani,Promo Only Customers,136.05,Low Profit
965007,Lancome,Non-Promo Customers,86.4,Low Profit
349819,Armani ,Partially Promo Customers,99,Low Profit
362280,Kiehl's,Partially Promo Customers,619,Profitable
780809,Kiehl's,Partially Promo Customers,128,Low Profit
122377,Armani ,Non-Promo Customers,111,Low Profit
664133,IT Cosmetics,Partially Promo Customers,47.5,Low Profit
753499,YSL,Partially Promo Customers,80,Low Profit
382410,Lancome,Partially Promo Customers,116.8,Low Profit
635027,Lancome,Promo Only Customers,167,Low Profit
837250,Armani ,Non-Promo Customers,53,Low Profit
383936,IT Cosmetics,Promo Only Customers,148.75,Low Profit
141793,YSL,Promo Only Customers,515.1,Profitable
517266,IT Cosmetics,Partially Promo Customers,433.5,Profitable
991174,IT Cosmetics,Partially Promo Customers,1190.85,Profitable
192649,IT Cosmetics,Partially Promo Customers,93,Low Profit
724502,Kiehl's,Partially Promo Customers,312,Profitable
319607,Kiehl's,Partially Promo Customers,203,Low Profit
945077,Kiehl's,Promo Only Customers,193,Low Profit
741518,Armani,Promo Only Customers,188,Low Profit
997234,Lancome,Partially Promo Customers,66.5,Low Profit
135259,IT Cosmetics,Partially Promo Customers,1006.45,Profitable
788253,IT Cosmetics,Non-Promo Customers,1552.21,Profitable
730441,Lancome,Partially Promo Customers,1245.7,Profitable
230043,Armani,Non-Promo Customers,34.2,Low Profit
985463,Kiehl's,Non-Promo Customers,125.2,Low Profit
250932,Armani ,Non-Promo Customers,202.5,Low Profit
628092,Armani,Promo Only Customers,283.5,Low Profit
745517,Armani ,Promo Only Customers,68.8,Low Profit
243900,Kiehl's,Partially Promo Customers,656.5,Profitable
765930,Kiehl's,Non-Promo Customers,143,Low Profit
127665,Lancome,Partially Promo Customers,67.2,Low Profit
680407,Kiehl's,Partially Promo Customers,285,Low Profit
381922,Kiehl's,Non-Promo Customers,121,Low Profit
651075,IT Cosmetics,Promo Only Customers,325.5,Profitable
930985,Armani,Promo Only Customers,172.5,Low Profit
523582,Armani,Promo Only Customers,196,Low Profit
612316,IT Cosmetics,Partially Promo Customers,67.5,Low Profit
109498,Kiehl's,Non-Promo Customers,144.5,Low Profit
369592,Lancome,Promo Only Customers,256.37,Low Profit
781334,IT Cosmetics,Promo Only Customers,584.4,Profitable
501919,YSL,Promo Only Customers,119.2,Low Profit
957023,Kiehl's,Promo Only Customers,160,Low Profit
520126,Kiehl's,Partially Promo Customers,115.51,Low Profit
117581,Kiehl's,Partially Promo Customers,8,Low Profit
349018,Lancome,Partially Promo Customers,94,Low Profit
914481,Kiehl's,Partially Promo Customers,69,Low Profit
459414,Kiehl's,Non-Promo Customers,447.3,Profitable
735235,Lancome,Partially Promo Customers,199.6,Low Profit
380306,YSL,Promo Only Customers,185.6,Low Profit
329634,IT Cosmetics,Promo Only Customers,166.4,Low Profit
283223,Armani ,Promo Only Customers,70.1,Low Profit
347624,YSL,Non-Promo Customers,48,Low Profit
535416,IT Cosmetics,Partially Promo Customers,248.91,Low Profit
800144,Kiehl's,Non-Promo Customers,191,Low Profit
924426,Kiehl's,Promo Only Customers,146.06,Low Profit
405440,Kiehl's,Non-Promo Customers,152.5,Low Profit
590142,Lancome,Partially Promo Customers,262,Low Profit
883488,YSL,Partially Promo Customers,126,Low Profit
373833,Kiehl's,Non-Promo Customers,158,Low Profit
591694,Armani ,Promo Only Customers,250.6,Low Profit
639343,Lancome,Partially Promo Customers,64.5,Low Profit
554187,IT Cosmetics,Promo Only Customers,141,Low Profit
296210,YSL,Non-Promo Customers,240,Low Profit
730578,IT Cosmetics,Partially Promo Customers,290,Low Profit
386967,IT Cosmetics,Partially Promo Customers,154,Low Profit
937636,Lancome,Non-Promo Customers,185,Low Profit
947000,Kiehl's,Non-Promo Customers,38,Low Profit
694692,Armani,Promo Only Customers,1042.08,Profitable
733298,Kiehl's,Promo Only Customers,85.5,Low Profit
696969,Kiehl's,Non-Promo Customers,251.5,Low Profit
438722,Lancome,Non-Promo Customers,55.8,Low Profit
477448,Lancome,Partially Promo Customers,148,Low Profit
561778,Armani ,Non-Promo Customers,79,Low Profit
400943,Kiehl's,Non-Promo Customers,1120.5,Profitable
795336,Armani,Promo Only Customers,195.5,Low Profit
516538,Kiehl's,Partially Promo Customers,81.6,Low Profit
333680,Armani,Promo Only Customers,110.5,Low Profit
